,state,county,total_population,total_female,total_male,total_one_race_white,percent_female,percent_white,latitude,longitude,num_households,dollar_household_median_income
46,California,Calaveras,45349,22775,22574,38373,0.5022161458907584,0.8461708086176101,38.187844,-120.555115,16809,70119
47,California,Colusa,21780,10638,11142,14975,0.4884297520661157,0.6875573921028466,39.177739,-122.237563,7303,61861
48,California,Contra Costa,1161643,590637,571006,580523,0.5084496699932768,0.49974303637175965,37.919479,-121.951543,405106,110455
49,California,Del Norte,27655,12894,14761,19184,0.4662448020249503,0.6936901102874706,41.749903,-123.980998,9531,53280
50,California,El Dorado,190568,95363,95205,161381,0.5004145501868099,0.8468420721212375,38.785532,-120.534398,74535,88770
51,California,Fresno,1003150,500456,502694,544633,0.498884513781588,0.5429227932014156,36.761006,-119.655019,314421,61276
52,California,Glenn,28675,14126,14549,21496,0.4926242371403662,0.7496425457715781,39.602546,-122.4017,9753,56332
53,California,Humboldt,137014,68610,68404,104538,0.5007517479965551,0.7629731268337542,40.706673,-123.925818,53729,53350
54,California,Imperial,180051,87362,92689,86476,0.48520696913652245,0.48028614114889673,33.040816,-115.355395,45541,49078
55,California,Inyo,18804,9258,9546,13914,0.49234205488194,0.7399489470325462,36.561977,-117.403927,7832,60925
56,California,Kern,905644,439805,465839,564183,0.48562680258468005,0.6229633277535102,35.346629,-118.729506,274705,58824
57,California,Kings,151887,68015,83872,86371,0.4478000092173787,0.5686530117784933,36.072478,-119.81553,43286,63267
58,California,Lake,67749,33693,34056,49473,0.4973209936678032,0.7302395607315237,39.094802,-122.746757,26307,53399
59,California,Lassen,32949,11588,21361,24933,0.3516950438556557,0.7567149230629154,40.721089,-120.629931,8910,59292
60,California,Los Angeles,10019635,5055907,4963728,4382079,0.5045999180608874,0.43734916491469,34.196398,-118.261862,3342811,76367
61,California,Madera,156304,80293,76011,85946,0.5136976660866005,0.5498643668748081,37.210039,-119.749852,43578,66709
62,California,Marin,262387,133243,129144,197622,0.5078109814891744,0.7531699360105493,38.051817,-122.745974,103751,131008
